"drug_id","concept_id","name","combination","simple_strength","simple_name_EN","simple_dosage_form_EN","name_concatenated_EN (use it; prepared by the program)","simple_name_FR","simple_dosage_form_FR","name_concatenated_FR (use it; prepared by the program)"
1314,162484,"Mifepristone 200 MG Oral Tablet / Misoprostol 0.2 ","yes","\N","Mifepristone / Misoprostol Combination Pack","Oral tablet","\N","\N","\N","\N"
1315,84879,"0.5 ML tetanus toxoid vaccine; inactivated 20 UNT/","no","0.5UNT/ML","TETANUS TOXOID","Prefilled syringe","TETANUS TOXOID (0.5UNT/ML) - Prefilled syringe","TETANUS TOXOID","\N","\N"
1316,80109,"12 HR Morphine Sulfate 100 MG Extended Release Tab","no","100MG","MORPHINE SULFATE","Tablet SR","MORPHINE SULFATE (100MG) - Tablet SR","\N","\N","\N"
1317,80109,"12 HR Morphine Sulfate 15 MG Extended Release Tabl","no","15MG","MORPHINE SULFATE","Tablet SR","MORPHINE SULFATE (15MG) - Tablet SR","\N","\N","\N"
1318,80109,"12 HR Morphine Sulfate 30 MG Extended Release Tabl","no","30MG","MORPHINE SULFATE","Tablet SR","MORPHINE SULFATE (30MG) - Tablet SR","\N","\N","\N"
1319,77029,"24 HR Gliclazide 30 MG Extended Release Tablet","no","30MG","GLICLAZIDE","Tablet SR","GLICLAZIDE (30MG) - Tablet SR","\N","\N","\N"
1320,80622,"24 HR Nicotine 0.292 MG/HR Transdermal Patch","no","0.292MG/HR","NICOTINE POLACRILEX","24 hour transdermal patch","NICOTINE POLACRILEX (0.292MG/HR) - 24 hour transdermal patch","\N","\N","\N"
1321,80622,"24 HR Nicotine 0.583 MG/HR Transdermal Patch","no","0.583MG/HR","NICOTINE POLACRILEX","24 hour transdermal patch","NICOTINE POLACRILEX (0.583MG/HR) - 24 hour transdermal patch","\N","\N","\N"
1322,80622,"24 HR Nicotine 0.875 MG/HR Transdermal Patch","no","0.875MG/HR","NICOTINE POLACRILEX","24 hour transdermal patch","NICOTINE POLACRILEX (0.875MG/HR) - 24 hour transdermal patch","\N","\N","\N"
1323,83725,"72 HR Hyoscine Hydrobromide 0.014 MG/HR Transderma","no","0.014MG/HR","SCOPOLAMINE HYDROBROMIDE","72 hour transdermal patch","SCOPOLAMINE HYDROBROMIDE (0.014MG/HR) - 72 hour transdermal patch","\N","\N","\N"
1324,70057,"Abacavir 20 MG/ML Oral Solution","no","20MG/ML","ABACAVIR SULFATE","Oral solution","ABACAVIR SULFATE (20MG/ML) - Oral solution","\N","\N","\N"
1325,70057,"Abacavir 300 MG Oral Tablet","no","300MG","ABACAVIR SULFATE","Oral tablet","ABACAVIR SULFATE (300MG) - Oral tablet","\N","\N","\N"
1326,70116,"Acetaminophen 160 MG Oral Tablet","no","160MG","ACETAMINOPHEN","Oral tablet","ACETAMINOPHEN (160MG) - Oral tablet","Acétaminophène","\N","\N"
1327,70116,"Acetaminophen 25 MG/ML Oral Solution","no","25MG/ML","ACETAMINOPHEN","Oral solution","ACETAMINOPHEN (25MG/ML) - Oral solution","Acétaminophène","\N","\N"
1328,70116,"Acetaminophen 325 MG Oral Tablet","no","325MG","ACETAMINOPHEN","Oral tablet","ACETAMINOPHEN (325MG) - Oral tablet","Acétaminophène","\N","\N"
1329,70116,"Acetaminophen 500 MG Oral Tablet","no","500MG","ACETAMINOPHEN","Oral tablet","ACETAMINOPHEN (500MG) - Oral tablet","Acétaminophène","\N","\N"
